Dígito,KNN,Random Forest,MLP,CNN,Imagens de teste
0,0.9852993904625313,0.9810103905410247,0.986321094312455,0.9895795903701042,1381
1,0.9753663860305581,0.9828571428571429,0.9848197343453511,0.9895204826929184,1575
2,0.971989814477992,0.9600570613409415,0.9736654804270463,0.9857651245551602,1398
3,0.967109867039888,0.9577762139338494,0.9725738396624473,0.9808027923211169,1428
4,0.969133506879881,0.9649575802286979,0.9753222836095764,0.9824689554419284,1365
5,0.964314036478985,0.964828137490008,0.9709510545165141,0.9828343313373253,1263
6,0.980873330927463,0.9765258215962441,0.9829771821803694,0.9859256586070011,1375
7,0.9676540687776642,0.968030250945342,0.9791595490263068,0.9821551132463967,1459
8,0.9643794525684289,0.9549945115257958,0.9708594614533382,0.9812292970187707,1365
9,0.9555318392031306,0.9437074220150592,0.9672544080604534,0.9745269286754003,1391
