Modelo,Acurácia,Precisão ponderada,Recall ponderado,F1 ponderado,Acertos,Tempo de ajuste (s),Tempo de inferência (s)
CNN,0.9899285714285714,0.9899489023339118,0.9899285714285714,0.989932644777964,13859,50.003347874999236,0.29465170799994667
MLP,0.9765714285714285,0.9765727104602913,0.9765714285714285,0.9765505607513664,13672,7.464542833999076,0.08973454199986008
KNN,0.9702857142857143,0.9705623604446664,0.9702857142857143,0.9702572778159575,13584,0.005134834000273258,2.215531040999849
Random Forest,0.9657142857142857,0.9657402966602181,0.9657142857142857,0.965694875880795,13520,3.735110249999707,0.08743070800119312
